StockCode,Description,Total_Quantity,Num_Transactions,Avg_UnitPrice,Num_Customers,Revenue,Popular
10002,INFLATABLE POLITICAL GLOBE ,823,49,0.85,40,699.55,1
10080,GROOVY CACTUS INFLATABLE,291,21,0.41190476190476194,19,119.86428571428573,0
10120,DOGGY RUBBER,193,29,0.21,25,40.53,0
10123C,HEARTS WRAPPING TAPE ,5,3,0.65,3,3.25,0
10124A,SPOTS ON RED BOOKCOVER TAPE,16,5,0.42000000000000004,5,6.720000000000001,0
10124G,ARMY CAMO BOOKCOVER TAPE,17,4,0.42,4,7.14,0
10125,MINI FUNKY DESIGN TAPES,1226,61,0.7828125,49,959.728125,1
10133,COLOURING PENCILS BROWN TUBE,2384,122,0.5275,101,1257.56,1
10135,COLOURING PENCILS BROWN TUBE,1938,117,1.1976859504132231,92,2321.1153719008266,1
11001,ASSTD DESIGN RACING CAR PEN,1252,62,1.851875,44,2318.5475,1
15030,FAN BLACK FRAME ,143,12,0.29,11,41.47,0
15034,PAPER POCKET TRAVELING FAN ,6419,91,0.13692307692307693,70,878.9092307692308,1
15036,ASSORTED COLOURS SILK FAN,21876,324,0.8050153846153846,194,17610.51655384615,1
15039,SANDALWOOD FAN,1559,70,0.8364788732394366,58,1304.0705633802816,1
15044A,PINK PAPER PARASOL ,428,78,3.0168354430379747,53,1291.205569620253,1
15044B,BLUE PAPER PARASOL ,307,48,2.9333333333333336,36,900.5333333333334,0
15044C,PURPLE PAPER PARASOL,272,60,2.94344262295082,43,800.616393442623,0
15044D,RED PAPER PARASOL,630,73,2.9613513513513516,53,1865.6513513513514,1
15056BL,EDWARDIAN PARASOL BLACK,2779,291,5.8937113402061865,142,16378.623814432993,1
15056N,EDWARDIAN PARASOL NATURAL,3826,378,5.864685863874345,184,22438.288115183244,1
15056P,EDWARDIAN PARASOL PINK,769,135,5.941313868613139,87,4568.870364963504,1
15058A,BLUE POLKADOT GARDEN PARASOL,148,51,7.8088235294117645,40,1155.7058823529412,0
15058B,PINK POLKADOT GARDEN PARASOL,115,41,7.8621951219512205,32,904.1524390243903,0
15058C,ICE CREAM DESIGN GARDEN PARASOL,193,30,6.35,26,1225.55,0
15060B,FAIRY CAKE DESIGN UMBRELLA,411,95,3.820315789473684,68,1570.1497894736842,1
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,70,0.13614285714285712,54,393.72514285714277,1
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,3,0.12,3,3.5999999999999996,0
16011,ANIMAL STICKERS,1773,46,0.21,38,372.33,1
16012,FOOD/DRINK SPONGE STICKERS,1244,35,0.21,33,261.24,1
16014,SMALL CHINESE STYLE SCISSOR,13328,54,0.4014814814814815,34,5350.945185185185,1
16015,MEDIUM CHINESE STYLE SCISSOR,662,24,0.48833333333333334,19,323.2766666666667,1
16016,LARGE CHINESE STYLE SCISSOR,1273,65,0.8460000000000001,41,1076.958,1
16020C,CLEAR STATIONERY BOX SET ,6,2,0.85,1,5.1,0
16033,MINI HIGHLIGHTER PENS,840,4,0.12,4,100.8,1
16043,POP ART PUSH DOWN RUBBER ,98,2,0.12,2,11.76,0
16045,POPART WOODEN PENCILS ASST,8900,68,0.043478260869565216,61,386.95652173913044,1
16046,TEATIME PEN CASE & PENS,67,13,0.85,13,56.949999999999996,0
16048,TEATIME ROUND PENCIL SHARPENER ,1437,47,0.13224489795918368,41,190.03591836734694,1
16049,TEATIME GEL PENS ASST,504,5,0.24,5,120.96,1
16052,TEATIME PUSH DOWN RUBBER,467,6,0.305,5,142.435,1
16054,POPART RECT PENCIL SHARPENER ASST,1166,33,0.1290909090909091,29,150.52,1
16151A,FLOWERS HANDBAG blue and orange,49,3,1.25,3,61.25,0
16156L,WRAP CAROUSEL,375,14,0.42,13,157.5,1
16156L,"WRAP, CAROUSEL",100,4,0.42,4,42.0,0
16156S,WRAP PINK FAIRY CAKES ,5800,167,0.4168862275449102,135,2417.9401197604793,1
16161G,WRAP BAD HAIR DAY,700,22,0.1,22,70.0,1
16161M,WRAP  PINK FLOCK,25,1,0.42,1,10.5,0
16161P,WRAP ENGLISH ROSE ,7226,248,0.41943775100401604,189,3030.8571887550197,1
16161U,WRAP SUKI AND FRIENDS,4075,134,0.41955223880597015,105,1709.6753731343283,1
16162L,THE KING GIFT BAG,17,6,0.65,5,11.05,0
16162M,THE KING GIFT BAG 25x24x12cm,26,7,0.42,6,10.92,0
16168M,FUNKY MONKEY GIFT BAG MEDIUM,329,20,0.42000000000000004,19,138.18,0
16169E,WRAP 50'S  CHRISTMAS,4563,149,0.41919999999999996,143,1912.8095999999998,1
16169K,WRAP FOLK ART,200,8,0.42,8,84.0,0
16169M,WRAP DAISY CARPET ,660,25,0.42,24,277.2,1
16169N,WRAP BLUE RUSSIAN FOLKART,25,1,0.42,1,10.5,0
16169P,WRAP GREEN RUSSIAN FOLKART ,50,2,0.42,2,21.0,0
16202A,PASTEL PINK PHOTO ALBUM ,7,2,0.5,2,3.5,0
16202B,PASTEL BLUE PHOTO ALBUM ,29,2,0.5,2,14.5,0
16202E,BLACK PHOTO ALBUM ,15,3,0.5,3,7.5,0
16206B,RED PURSE WITH PINK HEART,7,2,1.25,2,8.75,0
16207A,PINK STRAWBERRY HANDBAG ,13,5,2.95,4,38.35,0
16207B,PINK HEART RED HANDBAG,4,3,2.7866666666666666,3,11.146666666666667,0
16216,LETTER SHAPE PENCIL SHARPENER,3316,41,0.09463414634146342,38,313.8068292682927,1
16218,CARTOON  PENCIL SHARPENERS,3760,50,0.0732,43,275.232,1
16219,HOUSE SHAPE PENCIL SHARPENER,2915,47,0.09085106382978722,41,264.83085106382975,1
16225,RATTLE SNAKE EGGS,762,75,1.1883116883116882,57,905.4935064935064,1
